ID,Name,Quantity,Price
100,Keyboard,Electronics,13
101,Mouse,Electronics,17
1,Product 1,Other,667
10,Product 10,Other,57928
102,Product 102,Stationery,88888
103,Product 103,Stationery,58285
104,Product 104,Stationery,3932
105,Product 105,Electronics,25413
106,Product 106,Grocery,69155
107,Product 107,Stationery,22907
108,Product 108,Stationery,67196
109,Product 109,Fashion,63113
11,Product 11,Other,8182
110,Product 110,Fashion,58018
111,Product 111,Fashion,77327
112,Product 112,Grocery,61575
113,Product 113,Stationery,47817
114,Product 114,Stationery,57984
115,Product 115,Grocery,2293
116,Product 116,Fashion,91275
117,Product 117,Stationery,7825
118,Product 118,Fashion,1364
119,Product 119,Fashion,31741
12,Product 12,Fashion,90992
120,Product 120,Electronics,12309
121,Product 121,Grocery,49338
122,Product 122,Stationery,66487
123,Product 123,Grocery,26887
124,Product 124,Other,80535
125,Product 125,Grocery,9312
126,Product 126,Stationery,23322
127,Product 127,Other,56309
128,Product 128,Fashion,66816
129,Product 129,Fashion,85666
13,Product 13,Grocery,47282
130,Product 130,Fashion,37912
131,Product 131,Grocery,11435
132,Product 132,Other,91957
133,Product 133,Stationery,5381
134,Product 134,Other,38139
135,Product 135,Fashion,19551
136,Product 136,Fashion,6263
137,Product 137,Grocery,13705
138,Product 138,Other,15055
139,Product 139,Fashion,49322
14,Product 14,Fashion,53661
140,Product 140,Other,772
141,Product 141,Other,81918
142,Product 142,Stationery,92076
143,Product 143,Electronics,93387
144,Product 144,Electronics,19215
145,Product 145,Electronics,40293
146,Product 146,Other,63554
147,Product 147,Stationery,70862
148,Product 148,Stationery,8245
149,Product 149,Other,10078
15,Product 15,Electronics,16623
150,Product 150,Fashion,10573
151,Product 151,Fashion,96141
152,Product 152,Grocery,19031
153,Product 153,Other,4816
154,Product 154,Fashion,67375
155,Product 155,Stationery,64852
156,Product 156,Stationery,99474
157,Product 157,Fashion,82145
158,Product 158,Electronics,30156
159,Product 159,Stationery,74011
16,Product 16,Other,61012
160,Product 160,Fashion,99976
161,Product 161,Fashion,90169
162,Product 162,Grocery,78735
